Size,Directory,username,unit,value,project,dept
36G,/mnt/gluster/bziehr,bziehr,G,36,other,other
35G,/mnt/gluster/lmichael,lmichael,G,35,chtc,Computer Sciences
31G,/mnt/gluster/tribeiro,tribeiro,G,31,other,other
31G,/mnt/gluster/sliu426,sliu426,G,31,bmi_gitter,Biostatistics and Medical Informatics
27G,/mnt/gluster/nkarimi,nkarimi,G,27,other,other
23G,/mnt/gluster/mcrossley,mcrossley,G,23,other,other
21G,/mnt/gluster/nu_jhess,nu_jhess,G,21,,
20G,/mnt/gluster/mayeshiba,mayeshiba,G,20,materialscience_morgan,Materials Science and Engineering
20G,/mnt/gluster/mayeshiba,mayeshiba,G,20,materialscience_morgan,Materials Science and Engineering
20G,/mnt/gluster/dcdemets,dcdemets,G,20,,
19G,/mnt/gluster/weyna,weyna,G,19,,
19G,/mnt/gluster/qzeng,qzeng,G,19,,
18G,/mnt/gluster/jlmcdaniel,jlmcdaniel,G,18,botany_cameron,Botany
17G,/mnt/gluster/zmiller,zmiller,G,17,chtc,Computer Sciences
17G,/mnt/gluster/jalal,jalal,G,17,other,other
16G,/mnt/gluster/kecskemeti,kecskemeti,G,16,waisman_center,multi-departmental
16G,/mnt/gluster/kecskemeti,kecskemeti,G,16,waisman_alexander,Psychiatry
16G,/mnt/gluster/jkominek,jkominek,G,16,,
16G,/mnt/gluster/illgen,illgen,G,16,other,other
15G,/mnt/gluster/satjarak,satjarak,G,15,,
15G,/mnt/gluster/bohr,bohr,G,15,other,other
15G,/mnt/gluster/backup,backup,G,15,,
13G,/mnt/gluster/sjschmitz3,sjschmitz3,G,13,other,other
13G,/mnt/gluster/mjmiao,mjmiao,G,13,other,other
13G,/mnt/gluster/ckoch5,ckoch5,G,13,chtc,Computer Sciences
12G,/mnt/gluster/fyang223,fyang223,G,12,genetics_perna,Genetics
9.5G,/mnt/gluster/jmejia,jmejia,G,9.5,cee_gindervogel,Civil and Environmental Engineering
9.2G,/mnt/gluster/nwflorek,nwflorek,G,9.2,,
8.0G,/mnt/gluster/kasahara2,kasahara2,G,8,other,other
7.5G,/mnt/gluster/testuser1,testuser1,G,7.5,other,other
6.5G,/mnt/gluster/skarlupka,skarlupka,G,6.5,,
5.2G,/mnt/gluster/bmdoherty,bmdoherty,G,5.2,waisman_vorperian,multi-departmental
3.8G,/mnt/gluster/plant_lankau,plant_lankau,G,3.8,,
3.4G,/mnt/gluster/aapohl,aapohl,G,3.4,chtc,Computer Sciences
2.3G,/mnt/gluster/nfortney,nfortney,G,2.3,geoscience_roden,Geoscience
1.9G,/mnt/gluster/pcamejo,pcamejo,G,1.9,bacteriology_mcmahon,Bacteriology
1.8G,/mnt/gluster/hhwu,hhwu,G,1.8,materialscience_morgan,Materials Science and Engineering
1.3G,/mnt/gluster/zsong39,zsong39,G,1.3,materialscience_morgan,Materials Science and Engineering
1.3G,/mnt/gluster/nu_nziebarth,nu_nziebarth,G,1.3,,
1.2G,/mnt/gluster/psbennett,psbennett,G,1.2,page_learn,Biostatistics and Medical Informatics
1.1G,/mnt/gluster/zuluagatroch,zuluagatroch,G,1.1,botany_cameron,Botany
942M,/mnt/gluster/mcrook2,mcrook2,M,942,statistics_ane,Statistics
903M,/mnt/gluster/lankau,lankau,M,903,plantpathology_lankau,Plant Pathology
832M,/mnt/gluster/kreznar,kreznar,M,832,bacteriology_rey,Bacteriology
788M,/mnt/gluster/grandaduarte,grandaduarte,M,788,engrphysics_wilson,Engineering Physics
730M,/mnt/gluster/galaxy,galaxy,M,730,,
677M,/mnt/gluster/dasilvalopes,dasilvalopes,M,677,other,other
634M,/mnt/gluster/van-lyse,van-lyse,M,634,chtc,Computer Sciences
619M,/mnt/gluster/pdeming,pdeming,M,619,psychiatry_koenigs,Psychiatry
617M,/mnt/gluster/garciaramos,garciaramos,M,617,neurology_hermann,Neurology
617M,/mnt/gluster/garciaramos,garciaramos,M,617,neurology_hermann,Neurology
565M,/mnt/gluster/asheldon,asheldon,M,565,psychology_postle,Psychology
414M,/mnt/gluster/jcpatton,jcpatton,M,414,chtc,Computer Sciences
410M,/mnt/gluster/gthain,gthain,M,410,chtc,Computer Sciences
410M,/mnt/gluster/gthain,gthain,M,410,chtc,Computer Sciences
398M,/mnt/gluster/sun82,sun82,M,398,medicine_pepperell,Medicine
376M,/mnt/gluster/buczkowski,buczkowski,M,376,,
315M,/mnt/gluster/bchen79,bchen79,M,315,cheme_mavrikakis,Chemical and Biological Engineering
315M,/mnt/gluster/bchen79,bchen79,M,315,cheme_mavrikakis,Chemical and Biological Engineering
201M,/mnt/gluster/mfossen,mfossen,M,201,medicine_pepperell,Medicine
201M,/mnt/gluster/mfossen,mfossen,M,201,medicine_pepperell,Medicine
180M,/mnt/gluster/vargasestupi,vargasestupi,M,180,botany_pringle,Botany
148M,/mnt/gluster/amiriroudbar,amiriroudbar,M,148,animalsciences_rosa,Animal Sciences
122M,/mnt/gluster/nakeene,nakeene,M,122,wei,multi-departmental
105M,/mnt/gluster/ehermes,ehermes,M,105,chemistry_schmidt,Chemistry
92M,/mnt/gluster/rangarajan4,rangarajan4,M,92,cheme_mavrikakis,Chemical and Biological Engineering
92M,/mnt/gluster/rangarajan4,rangarajan4,M,92,cheme_mavrikakis,Chemical and Biological Engineering
92M,/mnt/gluster/plauck,plauck,M,92,cheme_mavrikakis,Chemical and Biological Engineering
92M,/mnt/gluster/plauck,plauck,M,92,cheme_mavrikakis,Chemical and Biological Engineering
92M,/mnt/gluster/lxu52,lxu52,M,92,cheme_mavrikakis,Chemical and Biological Engineering
92M,/mnt/gluster/lxu52,lxu52,M,92,cheme_mavrikakis,Chemical and Biological Engineering
92M,/mnt/gluster/elnabawy,elnabawy,M,92,cheme_mavrikakis,Chemical and Biological Engineering
92M,/mnt/gluster/elnabawy,elnabawy,M,92,cheme_mavrikakis,Chemical and Biological Engineering
92M,/mnt/gluster/dvigil,dvigil,M,92,cheme_mavrikakis,Chemical and Biological Engineering
92M,/mnt/gluster/dvigil,dvigil,M,92,cheme_mavrikakis,Chemical and Biological Engineering
92M,/mnt/gluster/brfoley,brfoley,M,92,,
92M,/mnt/gluster/adgould,adgould,M,92,cheme_mavrikakis,Chemical and Biological Engineering
92M,/mnt/gluster/adgould,adgould,M,92,other,other
82M,/mnt/gluster/share,share,M,82,,
53M,/mnt/gluster/slank,slank,M,53,,
49M,/mnt/gluster/osg-ss,osg-ss,M,49,,
19M,/mnt/gluster/nmeshram,nmeshram,M,19,medphysics_varghese,Medical Physics
6.3M,/mnt/gluster/haroldye,haroldye,M,6.3,,
6.1M,/mnt/gluster/devivo,devivo,M,6.1,other,other
3.1M,/mnt/gluster/old,old,M,3.1,,
835K,/mnt/gluster/moate,moate,K,835,chtc,Computer Sciences
835K,/mnt/gluster/moate,moate,K,835,chtc,Computer Sciences
188K,/mnt/gluster/wguan,wguan,K,188,physics_wu,Physics
144K,/mnt/gluster/condor,condor,K,144,,
110K,/mnt/gluster/hyoon24,hyoon24,K,110,cs_sohi,Computer Sciences
55K,/mnt/gluster/nyehle,nyehle,K,55,,
21K,/mnt/gluster/bontrager2,bontrager2,K,21,zoology_lee,Zoology
14K,/mnt/gluster/leonid,leonid,K,14,,
12K,/mnt/gluster/gmoede,gmoede,K,12,medicine_pepperell,Medicine
12K,/mnt/gluster/gmoede,gmoede,K,12,medicine_pepperell,Medicine
7.5K,/mnt/gluster/gkirk,gkirk,K,7.5,waisman_alexander,Psychiatry
7.0K,/mnt/gluster/sdsmith5,sdsmith5,K,7,horticulture_endelman,Horticulture
7.0K,/mnt/gluster/dhoconno,dhoconno,K,7,,
3.5K,/mnt/gluster/thaines2,thaines2,K,3.5,astronomy_donghia,Astronomy
3.5K,/mnt/gluster/thabbott,thabbott,K,3.5,math_stechmann,Mathematics
3.5K,/mnt/gluster/sdutcher,sdutcher,K,3.5,,
3.5K,/mnt/gluster/rkleiman,rkleiman,K,3.5,page_learn,Biostatistics and Medical Informatics
3.5K,/mnt/gluster/rabernat,rabernat,K,3.5,geoscience_feigl,Geoscience
3.5K,/mnt/gluster/potier,potier,K,3.5,,
3.5K,/mnt/gluster/ohuber2,ohuber2,K,3.5,,
3.5K,/mnt/gluster/mikshowsky,mikshowsky,K,3.5,dairyscience_weigel,Dairy Science
3.5K,/mnt/gluster/logan.johnson,logan.johnson,K,3.5,,
3.5K,/mnt/gluster/linares2,linares2,K,3.5,,
3.5K,/mnt/gluster/lacy,lacy,K,3.5,,
3.5K,/mnt/gluster/kupsch,kupsch,K,3.5,,
3.5K,/mnt/gluster/janderson1,janderson1,K,3.5,,
3.5K,/mnt/gluster/hvala,hvala,K,3.5,genetics_payseur,Genetics
3.5K,/mnt/gluster/gsuen,gsuen,K,3.5,,
3.5K,/mnt/gluster/gfmayhew,gfmayhew,K,3.5,,
3.5K,/mnt/gluster/dsondak,dsondak,K,3.5,,
3.5K,/mnt/gluster/dillmcfarlan,dillmcfarlan,K,3.5,,
3.5K,/mnt/gluster/dawood,dawood,K,3.5,,
3.5K,/mnt/gluster/cvmfs,cvmfs,K,3.5,,
3.5K,/mnt/gluster/clawson2,clawson2,K,3.5,wei,multi-departmental
3.5K,/mnt/gluster/bolo,bolo,K,3.5,,
3.5K,/mnt/gluster/avaradaraja2,avaradaraja2,K,3.5,ece_ramanathan,Electrical and Computer Engineering
3.5K,/mnt/gluster/ato2,ato2,K,3.5,,
3.5K,/mnt/gluster/aschoen2,aschoen2,K,3.5,,
3.5K,/mnt/gluster/alexandre,alexandre,K,3.5,,
3.5K,/mnt/gluster/achristense4,achristense4,K,3.5,chemistry_cui,Chemistry
